"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"08/04/2020","AirNow","160850002","4","8.9","ug/m3 LC","37","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/05/2020","AirNow","160850002","4","6.9","ug/m3 LC","29","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/06/2020","AirNow","160850002","4","9.2","ug/m3 LC","38","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/07/2020","AirNow","160850002","4","7.2","ug/m3 LC","30","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/08/2020","AirNow","160850002","4","6.7","ug/m3 LC","28","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/09/2020","AirNow","160850002","4","5.6","ug/m3 LC","23","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/10/2020","AirNow","160850002","4","6.6","ug/m3 LC","28","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/11/2020","AirNow","160850002","4","6.5","ug/m3 LC","27","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/12/2020","AirNow","160850002","4","8.5","ug/m3 LC","35","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/13/2020","AirNow","160850002","4","6","ug/m3 LC","25","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/14/2020","AirNow","160850002","4","6.4","ug/m3 LC","27","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/15/2020","AirNow","160850002","4","11.1","ug/m3 LC","46","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/16/2020","AirNow","160850002","4","9.4","ug/m3 LC","39","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/17/2020","AirNow","160850002","4","16.2","ug/m3 LC","60","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/18/2020","AirNow","160850002","4","10.5","ug/m3 LC","44","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/19/2020","AirNow","160850002","4","13.5","ug/m3 LC","54","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/20/2020","AirNow","160850002","4","20.3","ug/m3 LC","68","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/21/2020","AirNow","160850002","4","33.8","ug/m3 LC","97","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/22/2020","AirNow","160850002","4","33.2","ug/m3 LC","95","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/23/2020","AirNow","160850002","4","27.1","ug/m3 LC","83","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/24/2020","AirNow","160850002","4","47.2","ug/m3 LC","130","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/25/2020","AirNow","160850002","4","33.5","ug/m3 LC","96","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/26/2020","AirNow","160850002","4","15.5","ug/m3 LC","58","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/27/2020","AirNow","160850002","4","14.3","ug/m3 LC","56","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
"08/28/2020","AirNow","160850002","4","10.6","ug/m3 LC","44","McCall","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","16","Idaho","085","Valley","44.890197","-116.1065"
